barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
10.987,0,26,0,0,295,30,0,1600,0,Regular,Regular Gasoline,37,0,35981,Mazda,6,N,Automatic (S6),2016,,,,0,0,0
10.3003125,0,28,0,0,280,32,0,1500,0,Regular,Regular Gasoline,38,0,35982,Mazda,6,Y,Automatic (S6),2016,,,,0,0,0
11.36586207,0,25,0,0,306,29,0,1650,0,Regular,Regular Gasoline,36,0,35983,Mazda,6,Y,Manual 6-spd,2016,,,,0,0,0
15.69571429,0,18,0,0,434,21,0,2250,0,Regular,Regular Gasoline,25,0,35984,Kia,Sorento FE AWD,N,Automatic (S6),2016,,,,0,0,0
14.33086957,0,20,0,0,396,23,0,2050,0,Regular,Regular Gasoline,27,0,35985,Kia,Sorento FWD,N,Automatic (S6),2016,,,,0,0,0
13.73375,0,21,0,0,377,24,0,2000,0,Regular,Regular Gasoline,28,0,35986,Kia,Sorento FWD,N,Automatic (S6),2016,,,,0,0,0
16.4805,0,18,0,0,436,20,0,2400,0,Regular,Regular Gasoline,25,0,35987,Kia,Sorento FWD,Y,Automatic (S6),2016,,,,0,0,0
11.36586207,0,26,0,0,306,29,0,1650,0,Regular,Regular Gasoline,34,0,35988,Mazda,CX-5 2WD,Y,Manual 6-spd,2016,,,,0,0,0
11.36586207,0,26,0,0,310,29,0,1650,0,Regular,Regular Gasoline,33,0,35989,Mazda,CX-5 2WD,Y,Automatic (S6),2016,,,,0,0,0
15.69571429,0,19,0,0,418,21,0,2250,0,Regular,Regular Gasoline,25,0,35990,Kia,Sorento AWD,N,Automatic (S6),2016,,,,0,0,0
14.98227273,0,21,0,0,397,22,0,2150,0,Regular,Regular Gasoline,25,0,35991,Kia,Sorento AWD,Y,Automatic (S6),2016,,,,0,0,0
17.34789474,0,17,0,0,466,19,0,2500,0,Regular,Regular Gasoline,23,0,35992,Kia,Sorento AWD,Y,Automatic (S6),2016,,,,0,0,0
12.67730769,0,24,0,0,340,26,0,1850,0,Regular,Regular Gasoline,29,0,35993,Mazda,CX-5 4WD,Y,Automatic (S6),2016,,,,0,0,0
13.73375,0,20,0,0,375,24,0,2400,0,Premium,Premium Gasoline,29,0,35995,Audi,A7 quattro,N,Automatic (S8),2016,,,,0,0,0
13.73375,0,20,0,0,375,24,0,2400,0,Premium,Premium Gasoline,29,0,35996,Audi,A6 quattro,Y,Automatic (S8),2016,,,,0,0,0
11.77178571,0,25,0,0,314,28,0,1700,0,Regular,Regular Gasoline,33,0,35998,Honda,HR-V 2WD,N,Manual 6-spd,2016,,,,0,0,0
10.63258065,0,28,0,0,290,31,0,1550,0,Regular,Regular Gasoline,34,0,35999,Honda,HR-V 2WD,Y,Automatic (variable gear ratios),2016,,,,0,0,0
10.63258065,0,28,0,0,290,31,0,1550,0,Regular,Regular Gasoline,34,0,36000,Honda,HR-V 2WD,N,Automatic (AV-S7),2016,,,,0,0,0
11.36586207,0,27,0,0,313,29,0,1650,0,Regular,Regular Gasoline,32,0,36001,Honda,HR-V 4WD,Y,Automatic (variable gear ratios),2016,,,,0,0,0
11.36586207,0,27,0,0,313,29,0,1650,0,Regular,Regular Gasoline,32,0,36002,Honda,HR-V 4WD,N,Automatic (AV-S7),2016,,,,0,0,0
14.98227273,0,19,0,0,398,22,0,2650,0,Premium,Premium Gasoline,27,0,36010,Jaguar,F-Type Coupe,N,Automatic (S8),2016,,,,0,0,0
14.98227273,0,19,0,0,398,22,0,2650,0,Premium,Premium Gasoline,27,0,36011,Jaguar,F-Type Convertible,N,Automatic (S8),2016,,,,0,0,0
14.98227273,0,19,0,0,410,22,0,2650,0,Premium,Premium Gasoline,27,0,36012,Jaguar,F-Type S Coupe,N,Automatic (S8),2016,,,,0,0,0
14.98227273,0,19,0,0,410,22,0,2650,0,Premium,Premium Gasoline,27,0,36013,Jaguar,F-Type S Convertible,N,Automatic (S8),2016,,,,0,0,0
23.54357143,0,11,0,0,652,14,0,4150,0,Premium,Premium Gasoline,18,0,36015,Bentley,Mulsanne,N,Automatic (S8),2016,,,,0,0,0
10.63258065,0,28,0,0,290,31,0,1550,0,Regular,Regular Gasoline,35,0,36020,Hyundai,Veloster,N,Automatic (AM6),2016,,,,0,0,0
10.987,0,27,0,0,303,30,0,1600,0,Regular,Regular Gasoline,34,0,36021,Hyundai,Veloster,N,Manual 6-spd,2016,,,,0,0,0
12.20777778,0,24,0,0,329,27,0,1750,0,Regular,Regular Gasoline,32,0,36022,Hyundai,Elantra GT,Y,Manual 6-spd,2016,,,,0,0,0
0.18,0,126,0,0,0,112,0,600,0,Electricity,Electricity,99,0,36023,Mitsubishi,i-MiEV,N,Automatic (A1),2016,,EV,,0,0,0
15.69571429,0,18,0,0,426,21,0,2750,0,Premium,Premium Gasoline,26,0,36032,Jaguar,F-Type S AWD Coupe,N,Automatic (S8),2016,,,,0,0,0
15.69571429,0,18,0,0,426,21,0,2750,0,Premium,Premium Gasoline,26,0,36033,Jaguar,F-Type S AWD Convertible,N,Automatic (S8),2016,,,,0,0,0
11.36586207,0,25,0,0,309,29,0,2000,0,Premium,Premium Gasoline,35,0,36034,Acura,ILX,Y,Automatic (AM8),2016,,,,0,0,0
12.20777778,0,24,0,0,331,27,0,1750,0,Regular,Regular Gasoline,32,0,36036,Hyundai,Elantra GT,Y,Automatic (S6),2016,,,,0,0,0
18.31166667,0,16,0,0,487,18,0,3250,0,Premium,Premium Gasoline,23,0,36040,Jaguar,F-Type R Convertible,N,Automatic (S8),2016,,,,0,0,0
18.31166667,0,15,0,0,500,18,0,3250,0,Premium,Premium Gasoline,23,0,36041,Jaguar,F-Type R AWD Coupe,N,Automatic (S8),2016,,,,0,0,0
18.31166667,0,15,0,0,500,18,0,3250,0,Premium,Premium Gasoline,23,0,36042,Jaguar,F-Type R AWD Convertible,N,Automatic (S8),2016,,,,0,0,0
18.31166667,0,15,0,0,503,18,0,3250,0,Premium,Premium Gasoline,23,0,36043,Jaguar,XJ,N,Automatic (S8),2016,,,,0,0,0
18.31166667,0,15,0,0,503,18,0,3250,0,Premium,Premium Gasoline,23,0,36044,Jaguar,XJL,N,Automatic (S8),2016,,,,0,0,0
14.33086957,0,20,0,0,380,23,0,2550,0,Premium,Premium Gasoline,30,0,36046,Acura,RLX,N,Automatic (S6),2016,,,,0,0,0
10.987,0,28,0,0,302,30,0,1950,0,Premium,Premium Gasoline,31,0,36047,Acura,RLX Hybrid,N,Automatic (AM7),2016,,Hybrid,,0,0,0
17.34789474,0,16,0,0,474,19,0,3050,0,Premium,Premium Gasoline,22,0,36052,Nissan,GT-R,N,Automatic (AM6),2016,,,,0,0,0
11.36586207,0,26,0,0,311,29,0,1650,0,Regular,Regular Gasoline,32,0,36053,Hyundai,Veloster,N,Automatic (AM6),2016,,,,0,0,0
11.77178571,0,25,0,0,321,28,0,1700,0,Regular,Regular Gasoline,33,0,36054,Hyundai,Veloster,Y,Manual 6-spd,2016,,,,0,0,0
12.7395,0,25,0,0,343,30,0,1700,0,Diesel,Diesel,38,0,36055,Audi,A6 quattro,Y,Automatic (S8),2016,,Diesel,,0,0,0
18.31166667,0,15,0,0,502,18,0,3250,0,Premium,Premium Gasoline,23,0,36056,Hyundai,Equus,N,Automatic (S8),2016,,,,0,0,0
16.4805,0,18,0,0,443,20,0,2400,0,Regular,Regular Gasoline,24,0,36057,Kia,Sedona,Y,Automatic (S6),2016,,,,0,0,0
15.69571429,0,18,0,0,433,21,0,2250,0,Regular,Regular Gasoline,25,0,36058,Kia,Sedona SX,N,Automatic (S6),2016,,,,0,0,0
17.34789474,0,17,0,0,476,19,0,2500,0,Regular,Regular Gasoline,22,0,36059,Kia,Sedona SXL,N,Automatic (S6),2016,,,,0,0,0
16.4805,0,17,0,0,435,20,0,2900,0,Premium,Premium Gasoline,24,0,36060,Porsche,Cayenne,N,Automatic (S8),2016,,,,0,0,0
12.67730769,0,22,0,0,345,26,0,2250,0,Premium,Premium Gasoline,32,0,36061,BMW,Z4 sDrive28i,N,Automatic (S8),2016,,,,0,0,0
12.67730769,0,22,0,0,340,26,0,2250,0,Premium,Premium Gasoline,33,0,36062,BMW,Z4 sDrive28i,N,Manual 6-spd,2016,,,,0,0,0
17.34789474,0,17,0,0,454,19,0,3050,0,Premium,Premium Gasoline,23,0,36063,BMW,Z4 sDrive35i,N,Automatic (AM-S7),2016,,,,0,0,0
17.34789474,0,17,0,0,454,19,0,3050,0,Premium,Premium Gasoline,23,0,36064,BMW,Z4 sDrive35is,N,Automatic (AM-S7),2016,,,,0,0,0
13.73375,0,20,0,0,372,24,0,2400,0,Premium,Premium Gasoline,30,0,36065,BMW,640i Coupe,N,Automatic (S8),2016,,,,0,0,0
10.63258065,0,27,0,0,286,31,0,1550,0,Regular,Regular Gasoline,36,0,36066,Kia,Rio Eco,Y,Automatic (S6),2016,,,,0,0,0
10.987,0,27,0,0,290,30,0,1600,0,Regular,Regular Gasoline,36,0,36067,Kia,Rio,N,Automatic (S6),2016,,,,0,0,0
10.63258065,0,27,0,0,287,31,0,1550,0,Regular,Regular Gasoline,36,0,36068,Kia,Rio,N,Manual 6-spd,2016,,,,0,0,0
17.34789474,0,17,0,0,455,19,0,3050,0,Premium,Premium Gasoline,23,0,36069,Porsche,Macan S,Y,Automatic (AM-S7),2016,,,,0,0,0
17.34789474,0,16,0,0,461,19,0,3050,0,Premium,Premium Gasoline,24,0,36070,Porsche,Cayenne S,N,Automatic (S8),2016,,,,0,0,0
18.31166667,0,16,0,0,483,18,0,3250,0,Premium,Premium Gasoline,23,0,36071,Porsche,Cayenne GTS,N,Automatic (S8),2016,,,,0,0,0
