barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,21615,Audi,TT Roadster,N,Automatic (S6),2006,3MODE CLKUP,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,21616,Audi,TT Roadster quattro,N,Manual 6-spd,2006,,,,0,0,0
17.34789474,0,17,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21617,Audi,TT Roadster quattro,N,Automatic (S6),2006,3MODE,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,21618,Cadillac,XLR,Y,Automatic (S5),2006,2MODE CLKUP,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,26,0,21619,Chevrolet,Corvette,Y,Manual 6-spd,2006,,,,0,0,0
17.34789474,0,15,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,25,0,21620,Chevrolet,Corvette,Y,Automatic (S6),2006,3MODE CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,24,0,21621,Chevrolet,Corvette,Y,Manual 6-spd,2006,,,,0,0,0
15.69571429,0,19,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,25,0,21622,Chrysler,Crossfire Coupe,Y,Automatic 5-spd,2006,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,22,0,21623,Chrysler,Crossfire Coupe,N,Automatic 5-spd,2006,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,21624,Chrysler,Crossfire Coupe,N,Manual 6-spd,2006,,,,0,0,0
15.69571429,0,19,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,25,0,21625,Chrysler,Crossfire Roadster,N,Automatic 5-spd,2006,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,22,0,21626,Chrysler,Crossfire Roadster,N,Automatic 5-spd,2006,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,21627,Chrysler,Crossfire Roadster,Y,Manual 6-spd,2006,,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,19,0,21628,Dodge,Viper Convertible,N,Manual 6-spd,2006,,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,16,0,21629,Ferrari,F430,Y,Automatic 6-spd,2006,SIL 3MODE,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,16,0,21630,Ferrari,F430,N,Manual 6-spd,2006,SIL,,,0,0,0
7.012978723,0,45,0,0,189.0851064,47,0,1000,0,Regular,Regular Gasoline,49,0,21631,Honda,Insight,Y,Automatic (variable gear ratios),2006,EMS,Hybrid,,0,0,0
6.338653846,0,48,0,0,170.9038462,52,0,900,0,Regular,Regular Gasoline,58,0,21632,Honda,Insight,Y,Manual 5-spd,2006,SIL EMS,Hybrid,,0,0,0
16.4805,0,18,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,24,0,21633,Honda,S2000,Y,Manual 6-spd,2006,,,,0,0,0
27.4675,0,10,0,0,740.5833333,12,0,4850,0,Premium,Premium Gasoline,15,0,21634,Lamborghini,L-140/715 Gallardo,N,Manual 6-spd,2006,,,,0,0,0
27.4675,0,10,0,0,740.5833333,12,0,4850,0,Premium,Premium Gasoline,16,0,21635,Lamborghini,L-140/715 Gallardo,N,Manual 6-spd,2006,LONG RATIO,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,17,0,21636,Lamborghini,L-140/715 Gallardo,N,Automatic (S6),2006,LONG RATIO,,,0,0,0
27.4675,0,11,0,0,740.5833333,12,0,4850,0,Premium,Premium Gasoline,16,0,21637,Lamborghini,L-140/715 Gallardo,N,Automatic (S6),2006,,,,0,0,0
32.961,0,8,0,0,888.7,10,0,5800,0,Premium,Premium Gasoline,13,0,21638,Lamborghini,L-147/148 Murcielago,N,Manual 6-spd,2006,,,,0,0,0
29.96454545,0,9,0,0,807.9090909,11,0,5300,0,Premium,Premium Gasoline,14,0,21639,Lamborghini,L-147/148 Murcielago,N,Automatic (S6),2006,,,,0,0,0
13.73375,0,22,0,0,370.2916667,24,0,2400,0,Premium,Premium Gasoline,27,0,21640,Mazda,MX-5,Y,Manual 5-spd,2006,,,,0,0,0
13.73375,0,21,0,0,370.2916667,24,0,2400,0,Premium,Premium Gasoline,28,0,21641,Mazda,MX-5,Y,Manual 6-spd,2006,,,,0,0,0
14.33086957,0,20,0,0,386.3913043,23,0,2550,0,Premium,Premium Gasoline,28,0,21642,Mazda,MX-5,Y,Automatic (S6),2006,,,,0,0,0
19.38882353,0,14,0,0,522.7647059,17,0,3400,0,Premium,Premium Gasoline,22,0,21643,Mercedes-Benz,SL500,Y,Automatic 7-spd,2006,EMS 2MODE CLKUP,,,0,0,0
21.974,0,12,0,0,592.4666667,15,0,3900,0,Premium,Premium Gasoline,19,0,21644,Mercedes-Benz,SL55 AMG,N,Automatic (S5),2006,EMS 2MODE CLKUP,,,0,0,0
23.54357143,0,11,0,0,634.7857143,14,0,4150,0,Premium,Premium Gasoline,18,0,21645,Mercedes-Benz,SL600,N,Automatic 5-spd,2006,EMS 2MODE CLKUP,,,0,0,0
23.54357143,0,12,0,0,634.7857143,14,0,4150,0,Premium,Premium Gasoline,18,0,21646,Mercedes-Benz,SL65 AMG,N,Automatic (S5),2006,EMS 2MODE CLKUP,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,25,0,21647,Mercedes-Benz,SLK280,Y,Automatic 7-spd,2006,EMS 2MODE CLKUP,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,25,0,21648,Mercedes-Benz,SLK280,N,Manual 6-spd,2006,EMS,,,0,0,0
17.34789474,0,17,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,22,0,21649,Mercedes-Benz,SLK350,Y,Automatic 7-spd,2006,EMS 2MODE CLKUP,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21650,Mercedes-Benz,SLK350,N,Manual 6-spd,2006,EMS,,,0,0,0
20.600625,0,14,0,0,555.4375,16,0,3650,0,Premium,Premium Gasoline,20,0,21651,Mercedes-Benz,SLK55 AMG,Y,Automatic (S7),2006,EMS 2MODE CLKUP,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,16,0,21652,Mercedes-Benz,SLR,N,Automatic (S5),2006,EMS 2MODE CLKUP,,,0,0,0
17.34789474,0,17,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21653,Nissan,350z,Y,Manual 6-spd,2006,,,,0,0,0
17.34789474,0,17,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21654,Nissan,350z,Y,Automatic (S5),2006,CLKUP,,,0,0,0
17.34789474,0,17,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21655,Nissan,350z Roadster,Y,Manual 6-spd,2006,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21656,Nissan,350z Roadster,Y,Automatic (S5),2006,CLKUP,,,0,0,0
15.69571429,0,17,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,21657,Pontiac,Solstice,Y,Manual 5-spd,2006,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,24,0,21658,Porsche,Boxster,N,Automatic 5-spd,2006,2MODE,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,27,0,21659,Porsche,Boxster,Y,Manual 5-spd,2006,,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,21660,Porsche,Boxster,N,Manual 6-spd,2006,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,24,0,21661,Porsche,Boxster S,N,Automatic 5-spd,2006,2MODE,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,25,0,21662,Porsche,Boxster S,Y,Manual 6-spd,2006,,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,18,0,21663,Aston Martin,DB9 Coupe,N,Automatic (S6),2006,CLKUP,,,0,0,0
27.4675,0,10,0,0,740.5833333,12,0,4850,0,Premium,Premium Gasoline,16,0,21664,Aston Martin,DB9 Coupe Manual,N,Manual 6-spd,2006,,,,0,0,0
25.35461538,0,11,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,17,0,21665,Aston Martin,DB9 Volante,N,Automatic (S6),2006,CLKUP,,,0,0,0
27.4675,0,10,0,0,740.5833333,12,0,4850,0,Premium,Premium Gasoline,16,0,21666,Aston Martin,DB9 Volante Manual,N,Manual 6-spd,2006,,,,0,0,0
27.4675,0,10,0,0,740.5833333,12,0,4850,0,Premium,Premium Gasoline,16,0,21667,Aston Martin,V12 Vanquish S,N,Automatic (S6),2006,CLKUP,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,27,0,21668,Audi,TT Coupe,N,Automatic (S6),2006,3MODE CLKUP,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,21669,Audi,TT Coupe quattro,N,Manual 6-spd,2006,,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,24,0,21670,Audi,TT Coupe quattro,N,Automatic (S6),2006,3MODE,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,25,0,21671,BMW,325ci Convertible,N,Manual 5-spd,2006,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,24,0,21672,BMW,325ci Convertible,Y,Automatic (S5),2006,3MODE CLKUP,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,26,0,21673,BMW,330ci Convertible,N,Manual 6-spd,2006,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,21674,BMW,330ci Convertible,Y,Automatic (S5),2006,3MODE CLKUP,,,0,0,0
19.38882353,0,14,0,0,522.7647059,17,0,3400,0,Premium,Premium Gasoline,21,0,21675,BMW,M3 Convertible,Y,Manual 6-spd,2006,,,,0,0,0
20.600625,0,14,0,0,555.4375,16,0,3650,0,Premium,Premium Gasoline,20,0,21676,BMW,M3 Convertible,N,Automatic (S6),2006,6MODE,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,24,0,21677,Jaguar,XK8 Convertible,N,Automatic 6-spd,2006,2MODE CLKUP,,,0,0,0
