barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
14.98227273,0,19,0,0,394,22,0,2150,0,Regular,Regular Gasoline,28,0,43697,Honda,Odyssey,N,Automatic (S10),2022,,,,0,0,0
13.73375,0,21,0,0,380,24,0,2400,0,Premium,Premium Gasoline,29,0,43698,Kia,Stinger AWD,N,Automatic (S8),2022,,,,0,0,0
13.1844,0,22,0,0,355,25,0,2350,0,Premium,Premium Gasoline,32,0,43699,Kia,Stinger RWD,N,Automatic (S8),2022,,,,0,0,0
16.4805,0,17,0,0,451,20,0,2900,0,Premium,Premium Gasoline,24,0,43700,Kia,Stinger AWD,N,Automatic (S8),2022,,,,0,0,0
16.4805,0,18,0,0,437,20,0,2900,0,Premium,Premium Gasoline,25,0,43701,Kia,Stinger RWD,N,Automatic (S8),2022,,,,0,0,0
14.98227273,0,19,0,0,407,22,0,2150,0,Regular,Regular Gasoline,26,0,43702,Kia,Carnival,N,Automatic (S8),2022,,,,0,0,0
14.98227273,0,19,0,0,411,22,0,2650,0,Premium,Premium Gasoline,26,0,43703,Acura,MDX FWD,N,Automatic (S10),2022,,,,0,0,0
11.36586207,0,26,0,0,314,29,0,1650,0,Regular,Regular Gasoline,33,0,43704,Hyundai,Tucson FWD,N,Automatic (S8),2022,,,,0,0,0
12.67730769,0,25,0,0,338,26,0,1850,0,Regular,Regular Gasoline,28,0,43705,Mitsubishi,Eclipse Cross 2WD,N,Automatic (AV-S8),2022,,,,0,0,0
12.20777778,0,26,0,0,327,27,0,1750,0,Regular,Regular Gasoline,29,0,43706,Mitsubishi,Eclipse Cross ES 2WD,N,Automatic (AV-S8),2022,,,,0,0,0
15.69571429,0,19,0,0,423,21,0,2750,0,Premium,Premium Gasoline,25,0,43707,Acura,MDX AWD,N,Automatic (S10),2022,,,,0,0,0
13.1844,0,25,0,0,347,25,0,1900,0,Regular,Regular Gasoline,26,0,43708,Mitsubishi,Eclipse Cross 4WD,N,Automatic (AV-S8),2022,,,,0,0,0
12.67730769,0,25,0,0,337,26,0,1850,0,Regular,Regular Gasoline,28,0,43709,Mitsubishi,Eclipse Cross ES 4WD,N,Automatic (AV-S8),2022,,,,0,0,0
15.69571429,0,18,0,0,433,21,0,2750,0,Premium,Premium Gasoline,27,0,43748,Genesis,G70 RWD,N,Automatic (S8),2022,,,,0,0,0
14.33086957,0,20,0,0,392,23,0,2050,0,Regular,Regular Gasoline,28,0,43749,Kia,Sportage FWD,N,Automatic (S6),2022,,,,0,0,0
12.67730769,0,23,0,0,350,26,0,1850,0,Regular,Regular Gasoline,30,0,43750,Kia,Sportage FWD,N,Automatic (S6),2022,,,,0,0,0
12.20777778,0,24,0,0,328,27,0,1750,0,Regular,Regular Gasoline,31,0,43751,Mitsubishi,Outlander 2WD,N,Automatic (AV-S8),2022,,,,0,0,0
15.69571429,0,19,0,0,428,21,0,2750,0,Premium,Premium Gasoline,25,0,43752,Genesis,GV70 AWD,N,Automatic (S8),2022,,,,0,0,0
12.67730769,0,24,0,0,349,26,0,1850,0,Regular,Regular Gasoline,29,0,43753,Hyundai,Tucson AWD,N,Automatic (S8),2022,,,,0,0,0
15.69571429,0,19,0,0,421,21,0,2250,0,Regular,Regular Gasoline,24,0,43754,Kia,Sportage AWD,N,Automatic (S6),2022,,,,0,0,0
14.33086957,0,22,0,0,389,23,0,2050,0,Regular,Regular Gasoline,26,0,43755,Kia,Sportage AWD,N,Automatic (S6),2022,,,,0,0,0
12.67730769,0,24,0,0,342,26,0,1850,0,Regular,Regular Gasoline,30,0,43756,Mitsubishi,Outlander 4WD,N,Automatic (AV-S8),2022,,,,0,0,0
10.3003125,0,29,0,0,284,32,0,1500,0,Regular,Regular Gasoline,35,0,43763,Hyundai,Kona FWD,N,Automatic (AM-S7),2022,,,,0,0,0
10.3003125,0,30,0,0,281,32,0,1500,0,Regular,Regular Gasoline,35,0,43764,Hyundai,Kona FWD,Y,Automatic (AV-S1),2022,,,,0,0,0
11.36586207,0,27,0,0,311,29,0,1650,0,Regular,Regular Gasoline,32,0,43765,Hyundai,Kona AWD,N,Automatic (AM-S7),2022,,,,0,0,0
10.987,0,28,0,0,301,30,0,1600,0,Regular,Regular Gasoline,33,0,43766,Hyundai,Kona AWD,N,Automatic (AV-S1),2022,,,,0,0,0
