barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,22,0,16425,Acura,NSX,N,Automatic (S4),2001,2MODE,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,22,0,16426,Acura,NSX,N,Manual 6-spd,2001,,,,0,0,0
14.98227273,0,19,0,0,403.9545455,22,0,2650,0,Premium,Premium Gasoline,27,0,16427,Audi,TT Roadster,Y,Manual 5-spd,2001,,,,0,0,0
15.69571429,0,18,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,16428,Audi,TT Roadster quattro,Y,Manual 6-spd,2001,,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,16429,BMW,M Coupe,Y,Manual 5-spd,2001,,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,16430,BMW,M Roadster,N,Manual 5-spd,2001,,,,0,0,0
15.69571429,0,19,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,16431,BMW,Z3 Coupe,N,Manual 5-spd,2001,,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,25,0,16432,BMW,Z3 Coupe,N,Automatic (S5),2001,3MODE,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,24,0,16433,BMW,Z3 Roadster,Y,Automatic 5-spd,2001,3MODE,,,0,0,0
16.4805,0,18,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,25,0,16434,BMW,Z3 Roadster,N,Manual 5-spd,2001,,,,0,0,0
15.69571429,0,19,0,0,423.1904762,21,0,2750,0,Premium,Premium Gasoline,26,0,16435,BMW,Z3 Roadster,Y,Manual 5-spd,2001,,,,0,0,0
17.34789474,0,17,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,16436,BMW,Z3 Roadster,Y,Automatic (S5),2001,3MODE,,,0,0,0
21.974,0,12,0,0,592.4666667,15,0,3900,0,Premium,Premium Gasoline,19,0,16437,BMW,Z8,N,Manual 6-spd,2001,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,24,0,16438,Chevrolet,Corvette,N,Automatic 4-spd,2001,CLKUP,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2900,0,Premium,Premium Gasoline,26,0,16439,Chevrolet,Corvette,Y,Manual 6-spd,2001,,,,0,0,0
25.35461538,0,10,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,19,0,16440,Dodge,Viper Convertible,N,Manual 6-spd,2001,,,,0,0,0
25.35461538,0,10,0,0,683.6153846,13,0,4500,0,Premium,Premium Gasoline,19,0,16441,Dodge,Viper Coupe,N,Manual 6-spd,2001,,,,0,0,0
