barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
19.38882353,0,15,0,0,522.7647059,17,0,2800,0,Regular,Regular Gasoline,19,0,28862,Ford,Ranger Pickup 2WD,N,Automatic 4-spd,1989,,,,0,0,0
20.600625,0,15,0,0,555.4375,16,0,3000,0,Regular,Regular Gasoline,18,0,28863,Ford,Ranger Pickup 4WD,N,Automatic 4-spd,1989,,,,0,0,0
19.38882353,0,15,0,0,522.7647059,17,0,2800,0,Regular,Regular Gasoline,19,0,28864,Ford,Bronco II 2WD,N,Automatic 4-spd,1989,,,,0,0,0
15.69571429,0,19,0,0,423.1904762,21,0,2250,0,Regular,Regular Gasoline,25,0,5239,Alfa Romeo,Spider,N,Manual 5-spd,1989,,,,0,0,0
14.98227273,0,20,0,0,403.9545455,22,0,2150,0,Regular,Regular Gasoline,26,0,5240,Bertone,X1/9,N,Manual 5-spd,1989,,,,0,0,0
16.4805,0,17,0,0,444.35,20,0,2400,0,Regular,Regular Gasoline,26,0,5241,Buick,Reatta,Y,Automatic 4-spd,1989,CLKUP,,,0,0,0
20.600625,0,14,0,0,555.4375,16,0,3650,0,Premium,Premium Gasoline,21,0,5242,Cadillac,Allante,Y,Automatic 4-spd,1989,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,5243,Chevrolet,Corvette,N,Automatic 4-spd,1989,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,5244,Chevrolet,Corvette,N,Manual 6-spd,1989,SIL,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,5245,Chevrolet,Corvette Convertible,Y,Automatic 4-spd,1989,CLKUP,,,0,0,0
18.31166667,0,15,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,23,0,5246,Chevrolet,Corvette Convertible,N,Manual 6-spd,1989,SIL,,,0,0,0
18.31166667,0,16,0,0,493.7222222,18,0,3250,0,Premium,Premium Gasoline,20,0,5247,Chrysler,TC By,Y,Automatic 3-spd,1989,,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,3050,0,Premium,Premium Gasoline,23,0,5248,Chrysler,TC By,Y,Manual 5-spd,1989,,,,0,0,0
19.38882353,0,15,0,0,522.7647059,17,0,3400,0,Premium,Premium Gasoline,20,0,5249,Chrysler,TC By,N,Automatic 3-spd,1989,,,,0,0,0
19.38882353,0,15,0,0,522.7647059,17,0,3400,0,Premium,Premium Gasoline,20,0,5250,Chrysler,TC By,N,Automatic 3-spd,1989,CLKUP,,,0,0,0
17.34789474,0,16,0,0,467.7368421,19,0,2500,0,Regular,Regular Gasoline,24,0,5251,Nissan,300ZX,N,Automatic 4-spd,1989,2LKUP,,,0,0,0
