barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
17.34789474,0,16,0,0,472,19,0,3050,0,Premium,Premium Gasoline,23,0,34644,Nissan,GT-R,N,Automatic (AM6),2015,,,,0,0,0
14.33086957,0,20,0,0,378,23,0,2050,0,Regular,Regular Gasoline,28,0,34645,Volvo,S60 AWD,N,Automatic (S6),2015,,,,0,0,0
10.987,0,26,0,0,298,30,0,1600,0,Regular,Regular Gasoline,37,0,34646,Mazda,6,Y,Automatic (S6),2015,,,,0,0,0
10.3003125,0,28,0,0,280,32,0,1500,0,Regular,Regular Gasoline,39,0,34647,Mazda,6,Y,Automatic (S6),2015,,,,0,0,0
11.36586207,0,25,0,0,308,29,0,1650,0,Regular,Regular Gasoline,35,0,34648,Mazda,6,Y,Manual 6-spd,2015,,,,0,0,0
15.69571429,0,18,0,0,428,21,0,2250,0,Regular,Regular Gasoline,26,0,34649,Kia,K900,N,Automatic 8-spd,2015,,,,0,0,0
18.31166667,0,15,0,0,494,18,0,3250,0,Premium,Premium Gasoline,23,0,34650,Kia,K900,N,Automatic 8-spd,2015,,,,0,0,0
15.69571429,0,18,0,0,427,21,0,2250,0,Regular,Regular Gasoline,25,0,34651,Kia,Sorento FWD,Y,Automatic 6-spd,2015,,,,0,0,0
11.77178571,0,26,0,0,311,28,0,1700,0,Regular,Regular Gasoline,32,0,34652,Mazda,CX-5 2WD,Y,Automatic (S6),2015,,,,0,0,0
11.36586207,0,26,0,0,306,29,0,1650,0,Regular,Regular Gasoline,34,0,34653,Mazda,CX-5 2WD,N,Manual 6-spd,2015,,,,0,0,0
12.20777778,0,25,0,0,328,27,0,1750,0,Regular,Regular Gasoline,31,0,34654,Mazda,CX-5 2WD,Y,Automatic (S6),2015,,,,0,0,0
15.69571429,0,19,0,0,409,21,0,2250,0,Regular,Regular Gasoline,25,0,34655,Kia,Sorento AWD,N,Automatic 6-spd,2015,,,,0,0,0
16.4805,0,18,0,0,449,20,0,2400,0,Regular,Regular Gasoline,23,0,34656,Kia,Sorento AWD,Y,Automatic 6-spd,2015,,,,0,0,0
12.20777778,0,25,0,0,324,27,0,1750,0,Regular,Regular Gasoline,30,0,34657,Mazda,CX-5 4WD,Y,Automatic (S6),2015,,,,0,0,0
12.67730769,0,24,0,0,341,26,0,1850,0,Regular,Regular Gasoline,29,0,34658,Mazda,CX-5 4WD,Y,Automatic (S6),2015,,,,0,0,0
16.4805,0,17,0,0,434,20,0,2400,0,Regular,Regular Gasoline,24,0,34659,Volvo,XC60 AWD,Y,Automatic (S6),2015,,,,0,0,0
16.4805,0,17,0,0,434,20,0,2400,0,Regular,Regular Gasoline,24,0,34660,Volvo,XC70 AWD,N,Automatic (S6),2015,,,,0,0,0
12.67730769,0,22,0,0,345,26,0,2250,0,Premium,Premium Gasoline,31,0,34663,Audi,TT Roadster quattro,N,Automatic (AM-S6),2015,,,,0,0,0
12.67730769,0,22,0,0,345,26,0,2250,0,Premium,Premium Gasoline,31,0,34664,Audi,TT Coupe quattro,N,Automatic (AM-S6),2015,,,,0,0,0
13.73375,0,21,0,0,374,24,0,2400,0,Premium,Premium Gasoline,28,0,34668,Subaru,WRX,Y,Manual 6-spd,2015,,,,0,0,0
17.34789474,0,17,0,0,459,19,0,3050,0,Premium,Premium Gasoline,23,0,34669,Subaru,WRX,N,Manual 6-spd,2015,,,,0,0,0
14.98227273,0,19,0,0,396,22,0,2150,0,Regular,Regular Gasoline,28,0,34670,Volvo,S60 AWD,N,Automatic (S6),2015,,,,0,0,0
14.98227273,0,19,0,0,396,22,0,2150,0,Regular,Regular Gasoline,28,0,34671,Volvo,S80 AWD,N,Automatic (S6),2015,,,,0,0,0
14.33086957,0,20,0,0,378,23,0,2050,0,Regular,Regular Gasoline,28,0,34672,Volvo,V60 AWD,N,Automatic (S6),2015,,,,0,0,0
14.98227273,0,19,0,0,396,22,0,2150,0,Regular,Regular Gasoline,28,0,34673,Volvo,V60 AWD,N,Automatic (S6),2015,,,,0,0,0
17.34789474,5.350714286,16,12,457,478,19,14,2500,2550,Gasoline or E85,Regular Gasoline,23,17,34674,Chevrolet,Silverado C15 2WD,N,Automatic 6-spd,2015,,FFV,E85,0,0,0
17.34789474,5.350714286,16,12,457,478,19,14,2500,2550,Gasoline or E85,Regular Gasoline,23,17,34675,GMC,Sierra C15 2WD,N,Automatic 6-spd,2015,,FFV,E85,0,0,0
18.31166667,5.762307692,16,12,470,490,18,13,2650,2750,Gasoline or E85,Regular Gasoline,22,16,34676,Chevrolet,Silverado K15 4WD,N,Automatic 6-spd,2015,,FFV,E85,0,0,0
18.31166667,5.762307692,16,12,470,490,18,13,2650,2750,Gasoline or E85,Regular Gasoline,22,16,34677,GMC,Sierra K15 4WD,N,Automatic 6-spd,2015,,FFV,E85,0,0,0
