barrels08,barrelsA08,city08,cityA08,co2TailpipeAGpm,co2TailpipeGpm,comb08,combA08,fuelCost08,fuelCostA08,fuelType,fuelType1,highway08,highwayA08,id,make,model,mpgData,trany,year,trans_dscr,atvType,fuelType2,phevCity,phevHwy,phevComb
14.33086957,0,20,0,0,388,23,0,2050,0,Regular,Regular Gasoline,28,0,37217,Hyundai,Santa Fe Sport FWD,N,Automatic (S6),2017,,,,0,0,0
14.33086957,0,20,0,0,396,23,0,2050,0,Regular,Regular Gasoline,27,0,37218,Hyundai,Santa Fe Sport Ultimate FWD,Y,Automatic (S6),2017,,,,0,0,0
14.98227273,0,19,0,0,410,22,0,2150,0,Regular,Regular Gasoline,26,0,37219,Hyundai,Santa Fe Sport AWD,N,Automatic (S6),2017,,,,0,0,0
15.69571429,0,19,0,0,425,21,0,2250,0,Regular,Regular Gasoline,24,0,37220,Hyundai,Santa Fe Sport Ultimate AWD,N,Automatic (S6),2017,,,,0,0,0
15.69571429,0,19,0,0,419,21,0,2750,0,Premium,Premium Gasoline,25,0,37221,Audi,Q7,N,Automatic (S8),2017,,,,0,0,0
9.988181818,0,29,0,0,272,33,0,1450,0,Regular,Regular Gasoline,38,0,37225,Hyundai,Elantra SE,N,Automatic (S6),2017,,,,0,0,0
10.3003125,0,28,0,0,282,32,0,1500,0,Regular,Regular Gasoline,37,0,37226,Hyundai,Elantra,Y,Automatic (S6),2017,,,,0,0,0
11.36586207,0,26,0,0,301,29,0,1650,0,Regular,Regular Gasoline,36,0,37227,Hyundai,Elantra,N,Manual 6-spd,2017,,,,0,0,0
15.69571429,0,18,0,0,427,21,0,2250,0,Regular,Regular Gasoline,25,0,37228,Hyundai,Santa Fe FWD,N,Automatic (S6),2017,,,,0,0,0
16.4805,0,17,0,0,457,20,0,2400,0,Regular,Regular Gasoline,23,0,37229,Hyundai,Santa Fe Ultimate FWD,N,Automatic (S6),2017,,,,0,0,0
16.4805,0,18,0,0,433,20,0,2400,0,Regular,Regular Gasoline,24,0,37230,Hyundai,Santa Fe AWD,Y,Automatic (S6),2017,,,,0,0,0
17.34789474,0,17,0,0,475,19,0,2500,0,Regular,Regular Gasoline,22,0,37231,Hyundai,Santa Fe Ultimate AWD,Y,Automatic (S6),2017,,,,0,0,0
13.73375,0,21,0,0,379,24,0,2000,0,Regular,Regular Gasoline,27,0,37243,Hyundai,Santa Fe Sport FWD,N,Automatic (S6),2017,,,,0,0,0
14.98227273,0,20,0,0,406,22,0,2150,0,Regular,Regular Gasoline,26,0,37244,Hyundai,Santa Fe Sport AWD,N,Automatic (S6),2017,,,,0,0,0
13.1844,0,22,0,0,358,25,0,1900,0,Regular,Regular Gasoline,29,0,37262,Kia,Sportage FWD,Y,Automatic (S6),2017,,,,0,0,0
12.67730769,0,23,0,0,351,26,0,1850,0,Regular,Regular Gasoline,30,0,37263,Kia,Sportage FE FWD,Y,Automatic (S6),2017,,,,0,0,0
14.33086957,0,21,0,0,392,23,0,2050,0,Regular,Regular Gasoline,26,0,37264,Kia,Sportage FWD,N,Automatic (S6),2017,,,,0,0,0
14.33086957,0,21,0,0,397,23,0,2050,0,Regular,Regular Gasoline,25,0,37265,Kia,Sportage AWD,N,Automatic (S6),2017,,,,0,0,0
14.98227273,0,21,0,0,400,22,0,2150,0,Regular,Regular Gasoline,25,0,37266,Kia,Sportage FE AWD,N,Automatic (S6),2017,,,,0,0,0
15.69571429,0,20,0,0,424,21,0,2250,0,Regular,Regular Gasoline,23,0,37267,Kia,Sportage AWD,Y,Automatic (S6),2017,,,,0,0,0
